search_name,real_name,nickname,category,dates,place_of_birth,biography_link
Osvaldo Manzi,"Manzione, Osvaldo Ramón", ,"Pianist, composer, leader and arranger",(31 August 1925 - 18 April 1976),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/895/Osvaldo-Manzi/
Osvaldo Pugliese,"Pugliese, Osvaldo Pedro", ,"Pianist, leader, composer.",(2 December 1905 - 25 July 1995),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/46/Osvaldo-Pugliese/
Osvaldo Requena,"Requena, Osvaldo Francisco", ,"Pianist, leader, composer and arranger",(29 June 1931 - 25 March 2010),Place of birth: Buenos Aires Argentina, 
Osvaldo Tarantino,"Tarantino, Osvaldo", ,"Pianist, leader, composer and arranger",(6 June 1927 - 10 September 1991),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1060/Osvaldo-Tarantino/
Pascual Elia,"Elía, Pascual", ,"Bandoneonista, composer and leader",(2 September 1929 - ),Place of birth: Necochea (Buenos Aires) Argentina, 
Pedro Laurenz,"Blanco Acosta, Pedro", ,"Bandoneon player, director and composer",(10 October 1902 - 7 July 1972),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/43/Pedro-Laurenz/
Pedro Maffia,"Maffia, Pedro Mario",Nicknames: El pibe de Flores,"Bandoneonist, leader, composer, teacher",(28 August 1899 - 16 October 1967),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/3/Pedro-Maffia/
Puglia Pedroza,, ,Orchestra,(n/d - ),Place of birth: ,https://www.todotango.com/english/artists/biography/1549/Puglia-Pedroza/
Rafael Canaro,"Canaro, Rafael", ,"Bass player, leader and composer",(22 June 1890 - 28 January 1972),Place of birth: San José de Mayo (San José) Uruguay,https://www.todotango.com/english/artists/biography/350/Rafael-Canaro/
Raul Garello,"Garello, Raúl", ,"Bandoneon player, leader and composer",(3 January 1936 - 29 September 2016),Place of birth: Chacabuco (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/786/Raul-Garello/
Raul Kaplun,"Kaflún, Israel", ,"Violinist, leader and composer",(11 November 1910 - 23 January 1990),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/861/Raul-Kaplun/
Reynaldo Nichele,"Nichele, Reynaldo Fidel", ,Violinist,(1 June 1918 - 25 April 1998),Place of birth: Zárate (Buenos Aires) Argentina, 
Ricardo Malerba,"Malerba, Ricardo Francisco",Nicknames: Luz Demar,"Bandoneonist, leader and composer",(24 August 1905 - 29 June 1974),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/729/Ricardo-Malerba/
Ricardo Pedevilla,"Pedevilla, Ricardo Ángel", ,"Bandoneonist, bandleader and composer",(22 November 1915 - n/d),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/1270/Ricardo-Pedevilla/
Ricardo Tanturi,"Tanturi, Ricardo",Nicknames: El caballero del tango,"Pianist, leader and composer",(27 January 1905 - 24 January 1973),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/49/Ricardo-Tanturi/
Roberto Alvarez,"Alvarez, Roberto Daniel", ,"Bandoneonist, leader and composer",(7 May 1940 - ),Place of birth: Chacabuco (Buenos Aires) Argentina, 
Roberto Calo,"Caló, Francisco", ,"Pianist, leader, composer, singer and actor",(26 April 1913 - 26 April 1985),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/865/Roberto-Calo/
Roberto Firpo,"Firpo, Roberto", ,"Pianist, composer and leader.",(10 May 1884 - 14 June 1969),Place of birth: Las Flores (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/37/Roberto-Firpo/
Roberto Garza,"García López, José", ,Bandoneon player and composer,(8 October 1912 - 21 May 1981),Place of birth: Buenos Aires Argentina, 
Roberto Grela,"Grela, Roberto León", ,Guitarist and composer,(28 June 1913 - 6 September 1992),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/100/Roberto-Grela/
Roberto Nievas Blanco,"Nievas, Roberto Higinio", ,"Pianist, composer and lyricist",(28 April 1916 - 10 April 1992),Place of birth: Buenos Aires Argentina, 
Roberto Zerrillo,"Zerrillo Capozzi, Roberto Pedro", ,"Violinist, leader and composer",(20 July 1902 - 5 May 1955),Place of birth: Montevideo Uruguay,https://www.todotango.com/english/artists/biography/801/Roberto-Zerrillo/
Rodolfo Biagi,"Biagi, Rodolfo",Nicknames: Manos Brujas,"Pianist, composer and leader",(14 March 1906 - 24 September 1969),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/98/Rodolfo-Biagi/
Rodolfo Quiroga,"Quiroga, Rodolfo", ,Bandoneonist,(n/d - n/d),Place of birth: , 
Sexteto Tango,, ,Orchestra,(1968 - 1991),Place of birth: , 
Tango Bardo,, ,Quartet,(n/d - ),Place of birth:  Argentina, 
Terig Tucci,"Tucci, Terigio", ,"Violinist, pianist, arranger, composer and bandleader",(23 June 1897 - 28 February 1973),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/597/Terig-Tucci/
Tipica Victor,Orquesta Típica Victor, ,Orchestra,(1925 - 1944),Place of birth: , 
Victor Buchino,"Buchino, Víctor Miguel", ,"Pianist, leader, arranger and composer",(14 September 1918 - 21 November 2018),Place of birth: San Miguel de Tucumán (Tucumán) Argentina, 
Victor D'Amario,"D'Amario, Salvador Víctor", ,"Bandoneonist, bandleader and composer",(5 May 1909 - 20 August 2007),Place of birth: La Plata (Buenos Aires) Argentina,https://www.todotango.com/english/artists/biography/1110/Victor-DAmario/
Abel Cordoba,"González, Abelardo", ,Singer and composer,(19 July 1941 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/890/Abel-Cordoba/
Abel Cordoba ,"González, Abelardo", ,Singer and composer,(19 July 1941 - ),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/890/Abel-Cordoba/
Ada Falcon,"Falcone, Aida Ada Elsa", ,Singer,(17 August 1905 - 4 January 2002),Place of birth: Buenos Aires Argentina,https://www.todotango.com/english/artists/biography/148/Ada-Falcon/
Adolfo Rivas,"Alonso, Adolfo Hugo", ,Singer,(20 October 1926 - 26 July 2011),Place of birth: Pehuajó (Buenos Aires) Argentina, 
