Date,Orquestra,Title,Singer,Style,Composer,Author
1931-12-24,Adolfo CARABELLI,El cantar de los gitanos,Carlos Lafuente,PASODOBLE,Pascual De Luca,Pascual De Luca
1932-01-01,Adolfo CARABELLI,Carmencita la gitana,Alberto Gómez,PASODOBLE, , 
1932-01-01,Adolfo CARABELLI,El pensamiento,Carlos Lafuente,TANGO,José Martínez,Francisco García Jiménez
1932-01-01,Adolfo CARABELLI,Jamás podré olvidarte,Alberto Gómez,VALS,Julio De Caro,Mario César Gomila
1932-01-01,Adolfo CARABELLI,Milonga sentimental,Carlos Lafuente,MILONGA,Sebastián Piana,Homero Manzi
1932-01-01,Adolfo CARABELLI,Paseandome con mi novia, ,FOXTROT, , 
1932-02-05,Adolfo CARABELLI,Tango del querer,Alberto Gómez y Augusto Vila,TANGO,Andrés Domenech,Ricardo Lleras
1932-03-18,Adolfo CARABELLI,Olvidao,Charlo,TANGO,Guillermo Barbieri,Enrique Cadícamo
1932-03-21,Adolfo CARABELLI,Clyde,Carlos Lafuente,VALS,Héctor Bates,Venancio Clauso
1932-05-06,Adolfo CARABELLI,Cuando miran tus ojos,Luis Díaz,VALS,José María Aguilar,Enrique Cadícamo
1932-05-06,Adolfo CARABELLI,Desconfianza,Luis Díaz,TANGO,Edgardo Donato,Manuel Romero
1932-05-20,Adolfo CARABELLI,Manon,Alberto Gómez,TANGO,Arturo De Bassi,Antonio Miguel Podestá
1932-05-24,Adolfo CARABELLI,El puñal sevillano,Alberto Gómez,PASODOBLE, , 
1932-05-24,Adolfo CARABELLI,Por dónde andará,Alberto Gómez,TANGO,Salvador Merico,Atilio Supparo
1932-06-17,Adolfo CARABELLI,Inspiración,Alberto Gómez,TANGO,Peregrino Paulos,Luis Rubistein
1932-06-24,Adolfo CARABELLI,Felicia, ,TANGO,Enrique Saborido,Carlos Mauricio Pacheco
1932-06-24,Adolfo CARABELLI,Rodriguez Peña,Alberto Gómez,TANGO,Vicente Greco,Juan Velich
