Date,Orquestra,Title,Singer,Style,Composer,Author
1932-01-01,Edgardo DONATO,Sin cariño, ,TANGO, , 
1932-01-01,Edgardo DONATO,Sin un adiós (2), ,TANGO, , 
1932-01-01,Edgardo DONATO,Taco largo,Teófilo Ibáñez,TANGO, , 
1932-01-01,Edgardo DONATO,Tardes porteñas,Luis Díaz,TANGO, , 
1932-01-01,Edgardo DONATO,Volvé,Mercedes Carne,TANGO,Edgardo Donato,Luis Bayón Herrera
1932-01-01,Edgardo DONATO,Volvio la pecadora,Teófilo Ibáñez,RANCHERA, , 
1932-01-01,Edgardo DONATO,Yo tan sólo veinte años tenía, ,VALS,Julio César Sanders,Enrique Cadícamo
1932-12-09,Edgardo DONATO,A donde vas tan regalon,Félix Gutiérrez,RANCHERA, , 
1932-12-09,Edgardo DONATO,El huracán,Félix Gutiérrez,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López
1932-12-09,Edgardo DONATO,El huracán (b),Félix Gutiérrez,TANGO, , 
1933-06-21,Edgardo DONATO,La llorona,Félix Gutiérrez,RANCHERA, , 
1933-06-21,Edgardo DONATO,Pobre soñador,Félix Gutiérrez,TANGO,Edgardo Donato,Julio Romero
1933-07-13,Edgardo DONATO,La novena,Félix Gutiérrez,TANGO,Miguel Bonano,Alfredo Bigeschi
1933-07-13,Edgardo DONATO,Veneracion, ,VALS, , 
1933-09-11,Edgardo DONATO,El acomodo, ,TANGO,Edgardo Donato, 
1933-09-11,Edgardo DONATO,Triste y sin alpiste,Félix Gutiérrez,RANCHERA, , 
1933-10-31,Edgardo DONATO,Mi porteñita gracil,Félix Gutiérrez,PASODOBLE, , 
1933-10-31,Edgardo DONATO,Santa milonguita,Félix Gutiérrez,TANGO,Enrique Delfino,Enrique Cadícamo
1933-11-29,Edgardo DONATO,Penas,Félix Gutiérrez,VALS, , 
1933-11-29,Edgardo DONATO,Qué hacés qué hacés,Félix Gutiérrez,TANGO,José Di Clemente,Jesús Fernández Blanco
1934-01-09,Edgardo DONATO,Esto es el colmo,Antonio Maida,TANGO,V. Vilardi,Alberto Maraviglia y Leopoldo Amoroso
1934-01-09,Edgardo DONATO,Petrolina y Candelario,Antonio Maida,RANCHERA, , 
1934-02-09,Edgardo DONATO,Abombada,Randona y coro,RANCHERA, , 
1934-02-09,Edgardo DONATO,Ruego,Antonio Maida y Randona,TANGO, , 
1934-03-12,Edgardo DONATO,Noche sevillana,Antonio Maida,PASODOBLE, , 
1934-03-12,Edgardo DONATO,Risas,Antonio Maida,TANGO, , 
1934-04-25,Edgardo DONATO,Sandía calada (2),Antonio Maida,RANCHERA,Enrique Rodríguez,Máximo Orsi
1934-04-25,Edgardo DONATO,Segui con la caravana,Antonio Maida,TANGO, , 
1934-06-05,Edgardo DONATO,Amores viejos,Antonio Maida,TANGO, , 
1934-06-05,Edgardo DONATO,Pa' semejante candil,Antonio Maida,RANCHERA, , 
1934-06-28,Edgardo DONATO,Berretines,Antonio Maida,TANGO,Edgardo Donato,Máximo Orsi
1934-06-28,Edgardo DONATO,Ensalada mixta,Antonio Maida,RANCHERA, , 
1934-06-28,Edgardo DONATO,Riachuelo,Antonio Maida y Randona,TANGO, , 
1934-06-28,Edgardo DONATO,Y llego el amor,Antonio Maida,VALS, , 
1934-08-09,Edgardo DONATO,Soldadito del amor,Antonio Maida,PASODOBLE, , 
1934-08-09,Edgardo DONATO,Una luz en tus ojos,Antonio Maida y Randona,VALS, , 
1934-09-14,Edgardo DONATO,Ladrona de Sevilla,Antonio Maida,PASODOBLE, , 
1934-09-14,Edgardo DONATO,Tierrita, ,TANGO,Agustín Bardi,Jesús Fernández Blanco
1934-10-05,Edgardo DONATO,Corrales viejos,Antonio Maida,MILONGA,Anselmo Aieta,Francisco Laino
1934-10-05,Edgardo DONATO,Miau,Antonio Maida,RANCHERA, , 
1934-11-02,Edgardo DONATO,Quién más quién menos,Antonio Maida y Randona,TANGO,Enrique Santos Discépolo,Enrique Santos Discépolo
1934-11-02,Edgardo DONATO,Rosiclor,Antonio Maida,VALS, , 
1934-12-19,Edgardo DONATO,De ande yerba,Antonio Maida,RANCHERA, , 
1934-12-19,Edgardo DONATO,Si te perdés chiflame,Antonio Maida,TANGO,Mario Bustos y León Lípesker,Mario Bustos y León Lípesker
1935-02-05,Edgardo DONATO,La caida de la estanteria,Hugo del Carril,TANGO,Edgardo Donato,Luis Rubistein
1935-02-05,Edgardo DONATO,Protestona,Antonio Maida,RANCHERA, , 
1935-02-08,Edgardo DONATO,Congoja,Hugo del Carril,TANGO,Edgardo Donato,Luis Rubistein
1935-02-08,Edgardo DONATO,La glotona,Antonio Maida,RANCHERA, , 
1935-02-20,Edgardo DONATO,Dejate querer, ,VALS, , 
1935-02-20,Edgardo DONATO,Madame Ivonne,Alberto Gómez,TANGO,Eduardo Pereyra,Enrique Cadícamo
1935-03-21,Edgardo DONATO,Rosa poneme una ventosa,Hugo del Carril y Randona,TANGO,Enrique Delfino,Manuel Romero
1935-03-21,Edgardo DONATO,Vos y yo,Hugo del Carril,VALS, , 
1935-04-04,Edgardo DONATO,El vals de los recuerdos,Hugo del Carril,VALS,Homero Manzi y Francisco Pracánico,Homero Manzi y Francisco Pracánico
1935-04-04,Edgardo DONATO,Muchacho de cafetín,Hugo del Carril,TANGO,Francisco Pracánico,Homero Manzi
1935-05-06,Edgardo DONATO,La cumparsita, ,TANGO,Gerardo Matos Rodriguez,Gerardo Matos Rodriguez
1935-05-06,Edgardo DONATO,Mi morena,Hugo del Carril,PASODOBLE, , 
1935-05-06,Edgardo DONATO,Mi tristeza,Hugo del Carril,TANGO, , 
1935-05-06,Edgardo DONATO,San Sebastian,Hugo del Carril,PASODOBLE, , 
1935-06-13,Edgardo DONATO,Dios lo sabe,Juan Alessio,TANGO,Antonio Polito,Antonio Polito
1935-06-13,Edgardo DONATO,El día que me quieras,Juan Alessio,TANGO,Carlos Gardel,Alfredo Le Pera
1935-07-03,Edgardo DONATO,Picaflor,Juan Alessio,TANGO, , 
1935-07-03,Edgardo DONATO,Rosalinda,Juan Alessio,VALS, , 
1935-07-17,Edgardo DONATO,De mis pagos, ,RANCHERA, , 
1935-07-17,Edgardo DONATO,Hola qué tal,Juan Alessio,TANGO, , 
1935-08-09,Edgardo DONATO,Aleluya (3),Juan Alessio,MARCHA, , 
1935-08-09,Edgardo DONATO,Lejana tierra mía,Juan Alessio,TANGO,Carlos Gardel,Alfredo Le Pera
1935-08-28,Edgardo DONATO,Doña Maribiga,Horacio Lagos,RANCHERA, , 
1935-08-28,Edgardo DONATO,El zorzal,Horacio Lagos,TANGO, , 
1935-10-11,Edgardo DONATO,Hay que acomodarse,Horacio Lagos,TANGO,Edgardo Donato,Antonio Botta
1935-10-11,Edgardo DONATO,Mi Sevilla,Horacio Lagos,PASODOBLE, , 
1935-11-20,Edgardo DONATO,Che Carolina,Horacio Lagos,RANCHERA, , 
1935-11-20,Edgardo DONATO,Elegante papirusa, ,TANGO,Tito Roccatagliata, 
1936-01-17,Edgardo DONATO,Chiqué, ,TANGO,Ricardo Luis Brignolo,Ricardo Brignolo
1936-01-17,Edgardo DONATO,Tengo flor y no lo niego,Horacio Lagos,RANCHERA, , 
1936-03-10,Edgardo DONATO,La tapera,Félix Gutiérrez,VALS,Osvaldo Donato,Sergio Sosa
1936-03-10,Edgardo DONATO,Mañana,Félix Gutiérrez,TANGO,Edgardo Donato,Ivo Pelay
1936-05-07,Edgardo DONATO,Pura chispa,Félix Gutiérrez,TANGO,Edgardo Donato,Iván Diez
1936-05-07,Edgardo DONATO,Secreto de amor,Félix Gutiérrez,VALS,José Vázquez Vigo y Luis Gaulier,Luis César Amadori
1936-06-10,Edgardo DONATO,Belén, ,TANGO,Augusto Berto, 
1936-06-10,Edgardo DONATO,Embrujo gitano,Horacio Lagos,TANGO, , 
1936-07-01,Edgardo DONATO,Si tu supieras (2),Horacio Lagos,TANGO, , 
1936-07-01,Edgardo DONATO,Solo un recuerdo,Horacio Lagos,VALS, , 
1936-08-06,Edgardo DONATO,Gallito, ,PASODOBLE, , 
1936-08-06,Edgardo DONATO,La tablada, ,TANGO,Francisco Canaro, 
1936-09-10,Edgardo DONATO,Me voy a baraja,Horacio Lagos,TANGO,José Testa y Eduardo Banti,Epifanio Severiano Orozco
1936-09-10,Edgardo DONATO,Sombras del ayer,Horacio Lagos,VALS, , 
1936-10-07,Edgardo DONATO,Adios a Gardel,Horacio Lagos,CORRIDO, , 
1936-10-07,Edgardo DONATO,Se va la vida,Horacio Lagos,TANGO,Edgardo Donato,María Luisa Carnelli
1937-01-23,Edgardo DONATO,No te cases,Horacio Lagos,TANGO, , 
1937-01-23,Edgardo DONATO,Pierrot apasionado,Horacio Lagos,MARCHA, , 
1937-02-12,Edgardo DONATO,Así es el tango,Horacio Lagos,TANGO,Edgardo Donato,Homero Manzi
1937-02-12,Edgardo DONATO,Gato,Horacio Lagos,TANGO,Edgardo Donato,Homero Manzi
1937-07-16,Edgardo DONATO,Hacete cartel,Horacio Lagos,TANGO, , 
1937-07-16,Edgardo DONATO,Maria (4),Horacio Lagos,VALS, , 
1937-11-29,Edgardo DONATO,Papas calientes, ,TANGO,Eduardo Arolas, 
1937-11-29,Edgardo DONATO,Virgencita,Horacio Lagos,VALS, , 
1938-02-05,Edgardo DONATO,El estagiario, ,TANGO,Martín Lasala Álvarez, 
1938-02-05,Edgardo DONATO,La milonga que faltaba,Horacio Lagos,MILONGA,Edgardo Donato,Carlos Pesce
1938-03-09,Edgardo DONATO,Qué será?,Horacio Lagos,VALS,Tito Guizar y Pepe Guizar,Tito Guizar y Pepe Guizar
1938-03-09,Edgardo DONATO,Sacale punta,Horacio Lagos,MILONGA,Osvaldo Donato,Sandalio Gómez
1938-04-02,Edgardo DONATO,Con tus besos,Horacio Lagos,VALS,Santiago Ricci,Domingo Rosa
1938-04-02,Edgardo DONATO,El adiós,Horacio Lagos,TANGO,Maruja Pacheco Huergo,Virgilio San Clemente
1938-07-06,Edgardo DONATO,Te gané de mano,Horacio Lagos y Randona,TANGO, , 
1938-07-06,Edgardo DONATO,Tiempos bravos, ,TANGO,Salvador Grupillo, 
1938-08-29,Edgardo DONATO,Cantando bajito, ,TANGO,Alfonso Lacueva, 
1938-08-29,Edgardo DONATO,Vivo sin sombra lejos de ti,Horacio Lagos,VALS,Edgardo Donato,Carlos Pesce
1938-10-10,Edgardo DONATO,El chamuyo, ,TANGO,Francisco Canaro, 
1938-10-10,Edgardo DONATO,Ella es así,Horacio Lagos,MILONGA,Luis Martino,Manuel Carretero
1938-12-09,Edgardo DONATO,Alas rotas,Horacio Lagos,TANGO,Edgardo Donato,Maruja Pacheco Huergo
1938-12-09,Edgardo DONATO,Embrujo,Horacio Lagos,PASODOBLE, , 
1939-01-26,Edgardo DONATO,La mimada,Horacio Lagos,MILONGA,Miguel Andrés Fama,Miguel Andrés Fama
1939-01-26,Edgardo DONATO,Para qué,Horacio Lagos,TANGO,Osvaldo Borroni y Armando Tagini, 
1939-03-06,Edgardo DONATO,De punta a punta,Horacio Lagos,MILONGA,Osvaldo Donato,Sandalio Gómez
1939-03-06,Edgardo DONATO,Lágrimas (2),Horacio Lagos,TANGO,Edgardo Donato,Maruja Pacheco Huergo
1939-03-27,Edgardo DONATO,Carnaval de mi barrio,Lita Morales y Horacio Lagos,TANGO,Luis Rubistein,Luis Rubistein
1939-03-27,Edgardo DONATO,Sin sabor (Sinsabor),Lita Morales y Horacio Lagos,TANGO,Ascanio Donato,César Vedani
1939-03-27,Edgardo DONATO,Sombra gaucha,Lita Morales y Horacio Lagos,TANGO,Héctor Baldi,Alberto Pellegrini
1939-06-05,Edgardo DONATO,Madrecita,Horacio Lagos,VALS,José Pollicita y Alfonso Lacueva,José Pollicita y Alfonso Lacueva
1939-08-02,Edgardo DONATO,Pasión criolla, ,TANGO,Salvador Grupillo, 
1939-08-02,Edgardo DONATO,Trinia,Lita Morales,PASODOBLE, , 
1939-08-31,Edgardo DONATO,Chapaleando barro,Lita Morales y Horacio Lagos,TANGO, , 
1939-08-31,Edgardo DONATO,Soy mendigo,Horacio Lagos,TANGO,Edgardo Donato,Adolfo Vedani
1939-11-14,Edgardo DONATO,El torito, ,MILONGA,Ángel Villoldo,Ángel Villoldo
1939-11-14,Edgardo DONATO,Noches correntinas,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,Juan Giliberti,Juan Giliberti
1940-01-11,Edgardo DONATO,Mi serenata,Romeo Gavio y Lita Morales,TANGO,Edgardo Donato,Juan Carlos Thorry
1940-01-11,Edgardo DONATO,Volverás pero cuándo,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,Sebastián Piana,Homero Manzi
1940-01-24,Edgardo DONATO,Luna (2),Lita Morales y Horacio Lagos y Romeo Gavio,VALS,Osvaldo Donato,Sandalio Gómez
1940-01-24,Edgardo DONATO,Triqui tra,Lita Morales,TANGO, , 
1940-04-05,Edgardo DONATO,Campo afuera,Horacio Lagos,MILONGA,Rodolfo Biagi,Homero Manzi
1940-04-05,Edgardo DONATO,Sinfonía de arrabal,Lita Morales y Horacio Lagos y Romeo Gavio,TANGO,Maruja Pacheco Huergo,Maruja Pacheco Huergo
1940-04-30,Edgardo DONATO,La melodía del corazón,Romeo Gavio,TANGO,Fioravanti Di Cicco y Héctor Artola,Carmelo Santiago
1940-04-30,Edgardo DONATO,Porteña linda,Horacio Lagos,MILONGA,Edgardo Donato,Horacio Sanguinetti
1940-07-18,Edgardo DONATO,Diablesa,Horacio Lagos,VALS, , 
1940-07-18,Edgardo DONATO,El distinguido ciudadano, ,TANGO,Peregrino Paulos, 
1940-09-30,Edgardo DONATO,Estrellita mía,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,Alberto Soifer,Roberto Ratto
1940-09-30,Edgardo DONATO,Yo te amo,Romeo Gavio y Lita Morales,TANGO,Edgardo Donato,Carlos Lenzi
1940-11-22,Edgardo DONATO,Fue mi salvación,Horacio Lagos,TANGO,Ascanio Donato,Alberto Cosentino
1940-11-22,Edgardo DONATO,Virgencita milagrosa,Lita Morales,PASODOBLE, , 
1940-12-13,Edgardo DONATO,El lengue, ,MILONGA,Edgardo Donato, 
1940-12-13,Edgardo DONATO,Sentir del corazon,Horacio Lagos y Romeo Gavio,MILONGA,Benito Atella, 
1941-01-21,Edgardo DONATO,Deja el mundo como está,Horacio Lagos,TANGO,Rodolfo Biagi,Rodolfo Sciammarella
1941-01-21,Edgardo DONATO,La shunca,Lita Morales y Horacio Lagos y Romeo Gavio,VALS, , 
1941-02-05,Edgardo DONATO,Amando en silencio,Horacio Lagos y Romeo Gavio,TANGO,José Pécora,Francisco García Jiménez
1941-02-05,Edgardo DONATO,La morena de mi copla,Lita Morales,PASODOBLE, , 
1941-02-18,Edgardo DONATO,Mis pesares,Horacio Lagos,TANGO,Edgardo Donato,Carlos Pesce
1941-02-18,Edgardo DONATO,Repique del corazón,Horacio Lagos y Romeo Gavio,MILONGA,Osvaldo Donato,José Rótulo
1941-06-11,Edgardo DONATO,A oscuras,Horacio Lagos,TANGO,Ascanio Donato,Héctor Marcó
1941-06-11,Edgardo DONATO,Organillero,Horacio Lagos,MARCHA, , 
1941-07-21,Edgardo DONATO,No se haga mala sangre,Lita Morales y Horacio Lagos,POLCA, , 
1941-07-21,Edgardo DONATO,Te busco,Horacio Lagos,TANGO,Edgardo Donato,Héctor Marcó
1941-08-06,Edgardo DONATO,Mañana sera la mia,Lita Morales y Horacio Lagos,VALS, , 
1941-08-06,Edgardo DONATO,Un libro,Horacio Lagos,TANGO,Osvaldo Donato,Ricardo Olcese
1941-10-13,Edgardo DONATO,A media luz,Horacio Lagos,TANGO,Edgardo Donato,Carlos Lenzi
1941-10-13,Edgardo DONATO,Quién será,Horacio Lagos,VALS,Luis Visca,Luis Rubistein
1942-03-11,Edgardo DONATO,Cara negra,Horacio Lagos,MILONGA,Edgardo Donato,José Rótulo
1942-03-11,Edgardo DONATO,Mishiadura, ,TANGO,Eduardo Arolas, 
1942-05-28,Edgardo DONATO,Parece ayer,Horacio Lagos,TANGO,Edgardo Donato,José María Contursi
1942-05-28,Edgardo DONATO,Tu confidencia,Romeo Gavio,TANGO,Mauricio Misé y Romeo Gavioli,José Rótulo
1942-08-06,Edgardo DONATO,Lonjazos (Rezo gaucho),Horacio Lagos y Romeo Gavio,TANGO,Andrés Domenech,Jesús Fernández Blanco
1942-08-06,Edgardo DONATO,Mendocina,Romeo Gavio,VALS,Miguel Bruno,Benigno Palmeiro
1944-03-23,Edgardo DONATO,El lecherito,Daniel Adamo y Jorge Denis,MILONGA,Edgardo Donato,Horacio Sanguinetti
1944-03-23,Edgardo DONATO,La gran aldea,Jorge Denis,TANGO, , 
1945-01-01,Edgardo DONATO,Demasiado tarde,Roberto Beltran,TANGO,Francisco Troppoli,Agustín Horacio Delamónica
1945-01-01,Edgardo DONATO,Sin palabras,Osvaldo Morel,TANGO,Mariano Mores,Enrique Santos Discepolo
1945-01-01,Edgardo DONATO,Una vez,Osvaldo Morel,TANGO,Osvaldo Pugliese,Cátulo Castillo
1945-03-21,Edgardo DONATO,La de los ojos tristes,Pablo Lozano,TANGO,Edgardo Donato,Héctor Marcó
1945-03-23,Edgardo DONATO,Barrio tranquilo,Pablo Lozano,TANGO,Arturo Gallucci,Victorino Velázquez
1945-06-28,Edgardo DONATO,Portero suba y diga,Roberto Beltran,TANGO,Eduardo de Labar (h),Luis César Amadori
1945-06-28,Edgardo DONATO,Pregonera,Alberto Podestá,TANGO,Alfredo De Angelis,José Rótulo
1950-04-14,Edgardo DONATO,Che bandoneón,Carlos Almada,TANGO,Aníbal Troilo,Homero Manzi
1950-04-14,Edgardo DONATO,El huracán,Carlos Almada,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López
1950-07-07,Edgardo DONATO,A media luz,Carlos Almada,TANGO,Edgardo Donato,Carlos Lenzi
1950-07-07,Edgardo DONATO,Mamboreta,Carlos Almada,TANGO,María Isolina Godard,Francisco García Jiménez
1950-08-14,Edgardo DONATO,Jorge Duval, ,TANGO,Alfredo De Angelis, 
1950-08-14,Edgardo DONATO,Pituca,Carlos Almada,TANGO,Enrique Cadícamo,Rogelio Ferreyra
1950-10-13,Edgardo DONATO,Por qué no me besas,Adolfo Rivas,VALS,Francisco Caso,Homero Manzi
1950-10-16,Edgardo DONATO,Se va la vida,Carlos Almada,TANGO,Edgardo Donato,María Luisa Carnelli
1950-12-01,Edgardo DONATO,Julián, ,TANGO,Edgardo Donato,José Panizza
1950-12-01,Edgardo DONATO,Qué fenómeno,Carlos Almada,TANGO,Anselmo Aieta,Enrique Dizeo
1950-12-26,Edgardo DONATO,Cómo se pianta la vida,Carlos Almada,TANGO,Carlos Viván,Carlos Viván
1950-12-26,Edgardo DONATO,Tu desprecio,Adolfo Rivas,TANGO, , 
1951-06-06,Edgardo DONATO,Mi virgencita de lujan,Hugo Roca,VALS, , 
1951-06-06,Edgardo DONATO,Patio de la morocha,Carlos Almada,TANGO, , 
1951-09-17,Edgardo DONATO,Cartón ligador, ,TANGO,Edgardo Donato, 
1951-09-17,Edgardo DONATO,El camión,Carlos Almada,TANGO, , 
1951-09-17,Edgardo DONATO,El vinacho,Carlos Almada,MILONGA, , 
1951-09-17,Edgardo DONATO,Por qué doblan las campanas,Carlos Almada,TANGO,Alfredo De Angelis,José Rótulo
1951-11-13,Edgardo DONATO,Muchacho,Carlos Almada,TANGO,Edgardo Donato,Celedonio Flores
1951-11-13,Edgardo DONATO,Un mal dia,Carlos Almada,TANGO, , 
1952-01-18,Edgardo DONATO,El acomodo, ,TANGO,Edgardo Donato, 
1952-01-18,Edgardo DONATO,Pensa lo que has hecho,Carlos Almada,TANGO, , 
1952-01-18,Edgardo DONATO,Preparate pa'l domingo,Carlos Almada,TANGO,Guillermo Barbieri,José Rial
1952-06-25,Edgardo DONATO,Mi serenata,Alberto Podestá y Carlos Almada,TANGO,Edgardo Donato,Juan Carlos Thorry
1952-06-25,Edgardo DONATO,Será una noche,Carlos Almada,TANGO,José Tinelli,Manuel Ferradás Campos
1952-07-25,Edgardo DONATO,Oyeme mamá,Carlos Almada,TANGO,Armando Baliotti,Julio Jorge Nelson
1952-07-25,Edgardo DONATO,Papas calientes, ,MILONGA,Eduardo Arolas, 
1952-10-18,Edgardo DONATO,Por una mujer,Carlos Almada,VALS,Enrique Maciel,Enrique Maroni
1952-11-04,Edgardo DONATO,El huracán, ,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López
1952-11-04,Edgardo DONATO,Para qué, ,TANGO,Osvaldo Borroni y Armando Tagini, 
1953-01-02,Edgardo DONATO,Apronte,Roberto Morel,MILONGA,Carlos Mayel,Celedonio Flores
1953-01-02,Edgardo DONATO,Berretines de bacana,Roberto Morel,TANGO, , 
1953-04-24,Edgardo DONATO,Sangre de mi sangre,Raul Angelo,TANGO,Reinaldo Yiso y Juan Manuel Mañueco,Reinaldo Yiso y Juan Manuel Mañueco
1953-04-24,Edgardo DONATO,Un poco tarde,Roberto Morel,TANGO, , 
1953-06-25,Edgardo DONATO,El descolao,Roberto Morel,TANGO, , 
1953-07-25,Edgardo DONATO,Sábado inglés, ,TANGO,Juan Maglio, 
1953-08-11,Edgardo DONATO,TBC,Roberto Morel y Raul Angelo,TANGO,Ascanio Donato,Víctor Soliño y Roberto Fontaina
1953-08-11,Edgardo DONATO,Una cancion,Roberto Morel,TANGO,Aníbal Troilo,Catulo Castillo
1953-11-27,Edgardo DONATO,Pa'l nene,Roberto Morel,TANGO, , 
1953-11-27,Edgardo DONATO,Por eso canto así,Raul Angelo,TANGO,Luis Pereyra,Antonio Cantó
1954-06-10,Edgardo DONATO,El pollito, ,TANGO,Francisco Canaro, 
1954-06-10,Edgardo DONATO,Que globera,Roberto Morel,TANGO, , 
1954-12-17,Edgardo DONATO,Fuegos artificiales, ,TANGO,Roberto Firpo y Eduardo Arolas, 
1954-12-17,Edgardo DONATO,Yo nací para Palermo,Roberto Morel,TANGO,Carlos Mayel y Roberto Morel,Modesto Botti
1955-03-25,Edgardo DONATO,Fue mi salvación,Roberto Morel,TANGO,Ascanio Donato,Alberto Cosentino
1955-03-25,Edgardo DONATO,Has llegado,Roberto Morel,VALS, , 
1955-06-10,Edgardo DONATO,El disloque,Roberto Morel,TANGO, , 
1955-06-10,Edgardo DONATO,Novia de pueblo,Roberto Morel,TANGO, , 
1955-12-14,Edgardo DONATO,Desorientado,Oscar Peralta,TANGO,Miguel Caló,Marvil
1955-12-14,Edgardo DONATO,Volvé,Nilda Marino,TANGO,Edgardo Donato,Luis Bayón Herrera
1956-04-05,Edgardo DONATO,Historia de un amor,Oscar Peralta,TANGO,Carlos Almarán,Carlos Almarán
1956-04-16,Edgardo DONATO,Sencillo pero vistoso, ,TANGO,Orlando Calautti, 
1956-06-21,Edgardo DONATO,El chupete, ,TANGO,Ricardo Gaudenzio,Antonio Polito
1956-06-21,Edgardo DONATO,Lágrimas (2),Oscar Peralta,TANGO,Edgardo Donato,Maruja Pacheco Huergo
1956-08-24,Edgardo DONATO,Doble condena,Oscar Peralta,TANGO, , 
1956-10-02,Edgardo DONATO,Manantial, ,TANGO,Luis Pereyra, 
1957-03-19,Edgardo DONATO,El lengue, ,TANGO,Edgardo Donato, 
1957-03-19,Edgardo DONATO,Rosa de fuego,Alberto Aguirre,TANGO,Manuel Jovés,Antonio Viergol
1957-08-08,Edgardo DONATO,Levantade y anda,Oscar Peralta,TANGO, , 
1957-08-08,Edgardo DONATO,Y te fuiste a Buanos Aires,Alberto Aguirre,TANGO, , 
1958-08-24,Edgardo DONATO,Naranjerita,Alberto Aguirre,CANCION, , 
1958-10-02,Edgardo DONATO,Cosita linda,Alberto Aguirre,TANGO, , 
1961-11-01,Edgardo DONATO,A media luz,Andrés Galarce,TANGO,Edgardo Donato,Carlos Lenzi
1961-11-01,Edgardo DONATO,El huracán,Andrés Galarce,TANGO,Osvaldo Donato y Edgardo Donato,Nolo López
1961-11-01,Edgardo DONATO,Se va la vida,Andrés Galarce,TANGO,Edgardo Donato,María Luisa Carnelli
1961-11-01,Edgardo DONATO,TBC,Andrés Galarce,TANGO,Ascanio Donato,Víctor Soliño y Roberto Fontaina
1950-06-26, ,Audacia,Edmundo RIVERO,TANGO,Hugo La Rocca,Celedonio Flores
1950-06-26, ,Para vos hermano tango,Edmundo RIVERO,TANGO,Edmundo Rivero,Mario Battistella
1950-08-24,Dir. Victor Buchino,La cumparsita (Si supieras),Edmundo RIVERO,TANGO,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni
1950-08-24,Dir. Victor Buchino,Margot,Edmundo RIVERO,TANGO,José Ricardo y Carlos Gardel,Celedonio Flores
1950-11-28, ,Que se vayan,Edmundo RIVERO,TANGO,Francisco Canosa,Enrique Dizeo
1951-01-21, ,Un silbo qualquiera,Edmundo RIVERO,TANGO, , 
1951-01-25, ,Codiciando,Edmundo RIVERO,TANGO, , 
1951-05-28, ,En la vía,Edmundo RIVERO,TANGO,Nicolás Vaccaro,Eduardo Escaris Méndez
1951-05-28, ,Vieja casa,Edmundo RIVERO,VALS, , 
1951-05-29, ,Yo soy el mismo,Edmundo RIVERO,TANGO,Víctor Felice,Edmundo Rivero
1951-06-15,Dir. Victor Buchino,Medallita de la suerte,Edmundo RIVERO,TANGO,Carlos Gardel y José Razzano,Mario Battistella
1951-06-15,Dir. Victor Buchino,No mi amor,Edmundo RIVERO,CANCION, , 
1951-08-08, ,A mi dejame en mi barrio,Edmundo RIVERO,TANGO,Francisco Amor,Francisco Amor
1951-08-08, ,El rebenque fatal,Edmundo RIVERO,MILONGA, , 
1951-12-26,Dir. Victor Buchino,Cuando mueren nuestros sueños,Edmundo RIVERO,TANGO, , 
1952-05-29,Dir. Victor Buchino,Matala,Edmundo RIVERO,TANGO,Eduardo Bonessi,Eduardo Bonessi y Julio Bonnet
1952-06-05, ,Calle Cabildo,Edmundo RIVERO,TANGO,César Bo y Dionisio De Biasi,Edmundo Rivero
1952-06-05, ,Cuando me entrés a fallar,Edmundo RIVERO,TANGO,José María Aguilar,Celedonio Flores
1952-12-09, ,Mala entraña,Edmundo RIVERO,TANGO,Enrique Maciel,Celedonio Flores
1953-05-12, ,Mano a mano,Edmundo RIVERO,TANGO,Carlos Gardel y José Razzano,Celedonio Flores
1953-08-05, ,Como quieres que te quiera,Edmundo RIVERO,TANGO, , 
1953-08-05, ,Y taconeando salió,Edmundo RIVERO,TANGO,Modesto Papavero,Edelmiro Garrido
1953-08-14,Dir. Victor Buchino,Patio mío,Edmundo RIVERO,TANGO,Aníbal Troilo,Cátulo Castillo
1953-11-10, ,NP (No place),Edmundo RIVERO,TANGO,Juan José Riverol,Francisco Loiácono
1926-10-23,Eduardo BIANCO - BACHICHA,Crepúsculo,Juan Raggi y Eduardo Bianco,TANGO,Eduardo Bianco,"Jean De Kelsar (Keller Sarmiento, Carlos)"
1927-04-22,Eduardo BIANCO - BACHICHA,Siempre,Eduardo Bianco,TANGO,Eduardo Bianco,Eduardo Bianco
1927-04-22,Eduardo BIANCO - BACHICHA,Plegaria,Juan Arvizu y coro,TANGO,Eduardo Bianco,Eduardo Bianco
1928-01-01,Eduardo BIANCO - BACHICHA,Recuerdo, ,TANGO,Osvaldo Pugliese,Eduardo Moreno
1932-05-04,Eduardo BIANCO,Don Goyo, ,TANGO,Luis Bernstein, 
1939-01-01,Eduardo BIANCO,Bajo fondo,Mario Visconti,TANGO, , 
1939-03-15,Eduardo BIANCO,Rodriguez Peña, ,TANGO,Vicente Greco,Juan Velich
1926-10-23,Eduardo BIANCO - BACHICHA,Crepúsculo,Juan Raggi y Eduardo Bianco,TANGO,Eduardo Bianco,"Jean De Kelsar (Keller Sarmiento, Carlos)"
